user_id,filtered_count,reference_count,difference,percent_change
020dc804-0750-4743-ac76-eaac385e7d49,75,75,0,0.0
020e4a83-7501-4263-8893-d54430d1a7e9,24,24,0,0.0
0225d7d0-abce-459a-9e15-4591b91acca8,108,117,-9,-7.6923076923076925
023722c0-52e8-45fd-a9e6-c4ba22dcbd8f,28,28,0,0.0
0249978f-cf9f-459a-a599-cbb4a64cae0c,21,21,0,0.0
02595a82-48be-421b-ad81-63d88b67aeac,411,413,-2,-0.48426150121065376
028c19f6-cdb9-4cdd-9e84-495f28e744d6,80,80,0,0.0
029246e5-c806-4246-acef-88da85a85040,39,39,0,0.0
0295b2d7-78fd-4560-bfc6-da996c037179,26,26,0,0.0
029d9ee3-14d0-4480-9235-bfa9a34b0e75,80,80,0,0.0
02b97423-53ce-4bae-b26f-524f9275467d,202,202,0,0.0
02bc06a3-f36c-43db-abb1-868127703529,61,61,0,0.0
02d7fe3c-9f25-4ee8-a49e-02c10a4f2fdc,167,167,0,0.0
02d802e1-cea0-4422-9bfa-58acc9311687,216,216,0,0.0
02e11b7d-c40f-4163-8d3f-a6169a147156,251,251,0,0.0
02ebfb68-80e2-45af-943c-280595b91761,21,21,0,0.0
02eebb42-c248-4134-9d8c-f0c97b4cfb96,78,78,0,0.0
02f05bc0-090d-4da6-9485-950062e5d2e9,64,64,0,0.0
02fb7717-05fb-4be2-9fbf-0970c3a9fdcd,35,35,0,0.0
0301174c-644a-446d-a6ce-7bb37fe418b9,105,105,0,0.0
030a39fd-aedf-4a02-ba67-139f320d2afb,123,123,0,0.0
03111252-1ae9-45e6-951f-502933d93f2d,131,131,0,0.0
0315c846-d343-4e11-b4b6-57e7dc664637,156,157,-1,-0.6369426751592357
031ba588-189c-4eae-9871-db31a9f7c1cd,21,38,-17,-44.73684210526316
0340fd41-e167-4774-ae42-852306427f19,40,40,0,0.0
034ed67a-d5c4-42fb-8dcd-39be5c82c37e,22,22,0,0.0
03516de6-fcb2-4e7d-ab08-7ad42e97f300,22,23,-1,-4.3478260869565215
0357abf4-6629-4751-bc8c-9dc9c6b81f4f,325,325,0,0.0
0358ec81-b2b6-44dc-9935-cc6c94b83d71,409,409,0,0.0
035f61f4-6fed-413e-8a08-ec52ff1b835d,64,76,-12,-15.789473684210526
036e84d3-265c-44d4-bdc8-967751044c31,29,29,0,0.0
